Guild Members; Alex; Alligume; Belette Manon; Ben; BobLeBot; Boby Leymard; Cine; Codex2151; DaleX; Dark Nash; DarkDigger; Daïdhara; Deadline; Din Djarin; Domotikator; El fifi; Fenwicks; Findeath; GuigzZ; Heavo24; Jaarael; Kaa76; Kaïpan; Kobalt; Korto Vos; Luffy saitama; Lumpouille; Malachor V; Mol Issou; Nightmarr; Nuke; Obi Dam Nabira; ObiWanPeace; ObiWanPeach; Obiwan18; Peldor Varga; Popi le terrible; Pouhpou; Revanche Gilder; Skicker; Snorlax; valkorion; Varr; Virance; Von Barbiche; Whills Wotan; Wébélu; Xilebo; dark sid
Ben Solo; ; ; ; ; ; ; 52505; ; ; 11699; 15154; ; ; 69971; 21609; ; ; ; ; 64670; ; ; ; 17475; ; ; ; ; ; ; 54896; ; ; ; ; ; ; 548; ; ; 53539; ; ; 11680; ; 58098; ; ; 15154
Doctor Aphra; ; ; ; ; ; ; ; ; ; ; 47517; 61533; ; ; ; ; ; ; ; ; ; ; ; 51887; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 46721; ; ; ; ; ; ; ; 47517
C-3PO; 64531; 73583; 74357; 73087; ; 64212; 88489; 70355; 66897; 77428; 95826; 61093; 62819; 76365; 88377; 68335; 61972; 67038; 74291; 78901; 73651; 71850; 71128; 72969; 72980; 74690; 64104; 79531; 64172; 68077; 87340; 73591; 62600; 61031; 76916; 28681; 54327; 64437; 66328; 66103; 66749; 77590; 26942; 78582; 73927; 92728; 70075; 77531; 95826
Commander Ahsoka Tano; 73258; 76618; 16017; 479; ; 85318; 79714; 20144; 89453; 83865; 69526; 26209; 76689; 17439; 94579; 93549; 75279; ; 83701; 30135; 78808; 97086; 75218; 91239; 89276; 53276; 74482; 73549; ; 62003; 87404; ; 92975; 101926; 88160; ; 479; 87470; 73865; 84715; 77299; 80677; ; 82893; 70260; 87265; 89938; 73042; 69526
Admiral Trench; ; ; ; ; ; ; ; ; ; ; 69877; ; ; 22693; ; ; ; ; 45751; ; ; ; ; 32752; 69279; ; ; ; ; 45754; 29047; ; ; ; ; ; ; 43743; ; 533; 57774; ; ; ; ; ; ; ; 69877
Aurra Sing; 11568; 60537; 15126; 55186; ; 28849; 51858; ; 11464; 11945; 55856; 622; 30834; 53949; 27272; 21183; 46702; 44200; 56393; 622; 7242; 24885; 622; 71172; 622; 51955; 9090; 568; 19752; 622; 62346; 604; 604; 21497; 20255; 604; 586; 658; 24584; 622; 52030; 568; 604; 3376; 21832; 53226; 16434; 15242; 55856
Bossk; 55596; 73978; 57135; 62040; ; 55039; 74100; 60039; 74105; 60975; 70735; 55396; 63695; 58227; 66741; 53170; 64097; 74069; 61337; 64394; 49687; 66534; 82965; 56968; 59682; 67052; 60536; 55454; 61759; 55920; 78982; 66330; 62709; 73496; 63603; 54919; 56722; 66574; 78993; 64321; 56518; 54356; 62518; 57559; 62343; 67848; 57313; 56102; 70735
Geonosian Brood Alpha; 30465; 94878; 88827; 30262; ; 79016; 91944; 33303; 89762; 67314; 74309; 32681; 69836; 35472; 34416; 87176; 36298; 80627; 91467; 36458; 73446; 91417; 72923; 71986; 65371; 17531; 75701; 103220; 36147; 37377; 52802; 92405; 64127; 74589; 76771; 62856; 33258; 81241; 23175; 32854; 30536; 35112; 65046; 111405; 67474; 74563; 78153; 60875; 74309
Greef Karga; 29197; 51282; 19806; 18239; ; 22304; 63765; 18155; 20290; 19555; 32898; 29048; 53762; 65632; 28902; 29738; 56274; 76133; 31454; 25128; 23957; 25906; 15433; 35639; 27921; 37314; 22861; 17836; 28783; 25108; 28273; 20621; 49249; 53724; 55030; 26764; 26435; 22318; 23586; 24502; 50254; 62126; 15433; 20125; 17548; 25308; 60666; 21047; 32898
HK-47; 53196; 34322; 53105; 686; ; 53364; 52085; 28010; 48232; 36238; 56817; 22043; 22118; 52836; 57573; 48124; 47193; 20622; ; 34650; 30784; 58860; 54561; 30254; 48024; 24742; 47748; 42740; 32517; 23189; 38052; 46055; 47277; 48225; 43388; 43979; 45634; 63178; 34935; 34346; 53256; 22698; 53606; 51623; 49043; 25992; 22595; 43675; 56817
Jango Fett; 53752; 56447; 65575; 49783; ; 61649; 63056; 54001; 60153; 58110; 54962; 31442; 58776; 16291; 62717; 49355; 62705; 48828; 63450; 13866; 56341; 65132; 66267; 57027; 58024; 28269; 63920; 19116; 6685; 26906; 66753; 53229; 53375; 56959; 53795; 53894; 35240; 57843; 29762; 54871; 53316; 16903; 10213; 60835; 57347; 55080; 64940; 35150; 54962
Ninth Sister; 13209; 69456; 71756; 88461; ; 70658; 85119; 91368; 25503; 68294; 76611; 19457; 70046; 32577; 83746; 74628; 89803; 25312; 92950; 67241; 59895; 76379; 91452; 82868; 78498; 77815; 89377; 22447; 19312; 82876; 89207; 65397; 74187; 68589; 80199; 641; 88280; 74887; 77167; 18932; 81131; 68782; 24529; 68102; 80460; 81974; 72893; 68462; 76611
Seventh Sister; 9262; 59481; 49153; 68837; ; 73239; 92160; 69292; 56663; 67392; 72088; 14940; 59252; 19216; 67402; 61183; 78913; 16576; 68336; 61628; 56285; 75794; 60287; 70187; 66668; 73981; 74430; 16293; 8545; 71644; 65731; 51058; 66451; 67605; 67740; 425; 65817; 79977; 62174; 15198; 61583; 65875; 15355; 68041; 69720; 79832; 72577; 60746; 72088
50R-T; 430; 29873; 4510; ; ; 448; 24359; ; 8375; 20573; 80994; 8976; 5740; 27645; 18633; 7423; 10995; 16986; ; 60323; ; 430; 52500; 15039; 12810; 448; ; 430; 448; 448; 22068; 430; ; ; 448; 430; 430; 91790; 18796; 17848; 70340; 13781; 66708; 13349; 13947; ; ; 448; 80994
Admiral Piett; 57438; 67280; 58156; 74244; ; 60038; 70956; 15308; 50426; 67213; 82396; 56985; 61278; 59229; 58804; 69284; 56179; 55184; 63569; 56523; 46282; 62002; 58976; 47023; 63197; 50962; 68988; 14244; 62910; 69168; 51510; 64455; 55890; 52874; 56243; 64387; 66904; 58972; 62397; 70483; 65979; 50823; 60737; 58324; 66325; 54302; 51510; 51003; 82396
Asajj Ventress; 19872; 58973; 44731; 19519; ; 46461; 67133; 17799; 55804; 60450; 46834; 21746; 54692; 47840; 48129; 68148; 50036; 17125; 49619; 21882; 30851; 62680; 49238; 52505; 52031; 17569; 52503; 56002; 19463; 56315; 52921; 53562; 53866; 47121; 50607; 51510; 25643; 51142; 27988; 17805; 48459; 20013; 20175; 51017; 51665; 50909; 48152; 32957; 46834
BB-8; 20133; 33083; 13516; 517; ; 36887; 68689; 15606; 14356; ; 55355; 59065; 54396; 56338; 61527; 18643; 25830; 15213; ; 58357; 14638; 18394; 18975; 56117; 16222; 29187; 13595; 25144; 19876; 47232; 61796; 53134; 19413; 17443; 33806; 17277; 517; 40848; 23881; 29150; 52671; 52283; 11604; 57669; 12778; 56865; 12292; 35401; 55355
Chewbacca; 45113; 63051; 51915; 55991; ; 58939; 75480; 63056; 56134; 49286; 61079; 53808; 66286; 53235; 80755; 56950; 53887; 57212; 64763; 51429; 58126; 64645; 64366; 64703; 61262; 55762; 54351; 67754; 58429; 56891; 55127; 56496; 55034; 62260; 73723; 28917; 50934; 65283; 57784; 50875; 55874; 51864; 22173; 54464; 67098; 62792; 65723; 57634; 61079
CT-5555 "Fives"; 38720; 83940; 61211; 64552; ; 65546; 115670; 85249; 78861; 53659; 95305; 69171; 72304; 56679; 116788; 66795; 65883; 31375; 114386; 62358; 51882; 95679; 77637; 95822; 80284; 77257; 62800; 112317; 62775; 61737; 81221; 82833; 59332; 59774; 64023; 59945; 85580; 82933; 101350; 69168; 100253; 58733; 55996; 75273; 53768; 60442; 91165; 74957; 95305
Darth Malak; 81784; 55321; 67167; ; ; 74157; 82231; 73225; 71275; 71735; 90257; 32925; 54189; 82876; 79253; 58955; 73412; ; ; 66913; 45056; 79829; 96256; 77788; 87297; 60075; 60423; 85554; 64784; 72811; 64669; 80619; 65705; 72205; 78545; 66409; 76588; 99700; 59697; 83914; 102072; 68547; 96090; 61887; 70968; 69062; 28563; 70766; 90257
Darth Nihilus; 79290; 53305; 67294; 54792; ; 35266; 87056; 29445; 52774; 40210; 28029; 14566; 39139; 45310; 48838; 42813; 54259; 66810; 59800; 39100; 42745; 60490; 51771; 27383; 25521; 44053; 43004; 59044; 66731; 34179; 80468; 62598; 29950; 21824; 29687; 26305; 27244; 57804; 69218; 31591; 75409; 49066; 56528; 44954; 50343; 42586; 38439; 34758; 28029
Darth Traya; 52602; 55674; 61731; 74443; ; 47546; 59892; 28423; 51765; 53664; 42779; 14212; 50916; 42689; 69217; 52547; 55954; 58625; 75142; 31776; 50523; 52114; 54316; 76397; 30863; 27709; 54684; 57454; 73667; 41940; 59007; 71040; 43282; 23210; 54792; 32456; 28200; 66900; 55443; 31860; 72864; 62339; 56557; 56886; 56574; 51542; 54919; 53556; 42779
Embo; 13145; 58754; 11862; 7662; ; 24144; 48337; ; 49926; 46345; 44467; 552; 16566; 19875; 59283; 17767; 46033; 5998; ; 534; 21827; 516; 46014; 29289; 52215; 48481; 43676; 516; 552; 44583; 42910; 34084; 38192; 5062; 12638; 19035; 516; 570; 18646; 552; 43723; 14595; 15984; 51254; 35565; 45606; 46562; 47265; 44467
Emperor Palpatine; 50273; 57018; 50198; 61927; ; 53391; 58217; 37539; 50111; 51211; 78271; 56934; 57423; 64950; 59825; 50751; 47720; 48071; 48747; 60558; 43263; 59599; 48842; 57657; 48948; 21233; 48146; 51597; 49845; 71044; 55758; 50800; 48540; 49702; 54904; 50408; 50799; 66290; 47421; 43347; 53552; 48361; 49498; 49219; 49617; 49132; 57589; 48440; 78271
Fifth Brother; 10443; 69499; 70252; 80012; ; 99216; 92422; 83204; 49374; 76261; 84674; 21115; 69499; 27190; 93728; 74704; 100460; 24777; 75052; 71055; 73582; 75167; 87491; 80869; 83398; 82370; 91631; 34313; 11539; 74943; 88435; 69949; 74255; 76575; 69610; 641; 79689; 92650; 84666; 28381; 75946; 78428; 28462; 76840; 84474; 69499; 76928; 66355; 84674
General Grievous; 151919; 126466; 113626; 21555; ; 121076; 141526; 132171; 104313; 121377; 130623; 121082; 135271; 145621; 154886; 118330; 134170; 122695; 139125; 134790; 83350; 153010; 153614; 142344; 95214; 122587; 112983; 154044; 149574; 94394; 156748; 120927; 138099; 98797; 154793; 93995; 120392; 160858; 139066; 122788; 146585; 142280; 95672; 143118; 151039; 161276; 141324; 136557; 130623
Grand Admiral Thrawn; 53894; 56375; 54641; 55071; ; 31832; 49638; 31164; 53775; 54298; 52365; 19446; 46132; 35993; 58605; 49724; 53386; 52026; 52007; 53405; 60414; 48401; 58203; 70929; 58506; 22958; 50121; 31141; 57997; 59942; 62297; 58558; 54367; 36310; 53510; 50848; 50218; 56369; 52281; 29701; 48092; 49323; 50942; 53980; 51712; 34153; 53422; 50492; 52365
Grand Master Yoda; 56623; 67780; 84786; 66541; ; 54074; 63040; 65047; 54013; 64184; 62445; 55323; 67703; 47393; 67603; 56394; 83948; 31336; 69908; 52080; 55362; 65265; 68766; 70741; 64676; 66226; 57799; 65057; 58789; 48479; 86701; 47677; 75230; 53857; 56035; 49378; 55300; 68213; 53520; 68741; 72153; 54547; 19381; 61882; 65686; 68254; 60227; 41090; 62445
Grand Moff Tarkin; 42838; 54162; 31740; 49993; 543; 12662; 48221; 12992; 51775; 56021; 54191; 12905; 17936; 29061; 54581; 40944; 50691; 40005; 45888; 39300; 49634; 43219; 52331; 19342; 51194; 13238; 51246; 18070; 37442; 50516; 43125; 41365; 38502; 19729; 44591; 40004; 41660; 39732; 41321; 15493; 50602; 23524; 41921; 63672; 38223; 15565; 49196; 50925; 54191
Hermit Yoda; 60778; 59175; 32895; 72846; ; 63350; 90694; 74428; 58755; 68683; 81190; 67212; 83197; 94642; 63955; 64061; 78431; 69989; 86544; 58268; 58076; 60781; 71368; 71146; 75501; 71236; 74790; 76267; 75641; 76334; 80974; 84579; 95180; 95844; 67269; 32073; 51963; 69319; 66398; 74866; 68216; 77635; 30449; 88892; 75349; 67195; 70033; 69849; 81190
Hondo Ohnaka; 425; 425; 53435; ; ; 425; 16753; ; 5450; 5217; 56638; 53987; 425; 9240; 8613; 9416; 9639; 425; ; 425; ; 425; 425; 50746; 425; 16805; ; 11894; 425; 425; 443; 425; ; ; ; 425; ; 425; 9243; 425; 49341; 425; 425; 10892; ; ; 5393; ; 56638
Jedi Knight Luke Skywalker; 76088; 66355; ; 74368; ; 73598; 102227; 72986; 79943; ; 85322; 95177; 89416; 80623; 81156; 75335; 83957; 73764; 75191; ; 52080; 92399; 97442; 87189; 74409; 77172; 77451; 78723; 94092; 71826; 75078; 76751; 80383; 75512; 73831; ; ; 87789; 78309; 81908; 73818; 79008; ; 87777; 88303; 77526; 84452; 75937; 85322
Jyn Erso; 550; 19529; 11977; 12802; ; 13322; 50864; 14023; 13887; 6585; 45657; 550; 14596; 25781; 51526; 18886; 54066; 14563; ; 10558; 13862; 14205; 44877; 18466; 12551; 10257; 20357; 13350; 11386; 15400; 11818; 44458; 15487; ; 12034; 23053; 15101; 17614; 60137; 13637; 53422; 514; 11386; 54338; 9152; 60462; 28357; 54797; 45657
Kylo Ren (Unmasked); 100946; 82166; 33122; 107835; 700; 62086; 98025; 82156; 25375; 12346; 93384; 85447; 100805; 99123; 99708; 29738; 87190; 58510; 52696; 88682; 52696; 63448; 67586; 105971; 66992; 69246; 26914; 97396; 60751; 83279; 69340; 29338; 68007; 95680; 88095; 90358; 87198; 119423; 87145; 81314; 107254; 104023; 95986; 103195; 20532; 103379; 39969; 33823; 93384
Moff Gideon; 9972; 16176; 8165; 17477; 8912; 12099; 63811; 2986; 16812; 9856; 20010; 50873; 40358; 47439; 22888; 13122; 48253; 8746; 520; 556; 58421; 538; 51764; 13395; 12408; 3655; 7640; 13242; 58933; 556; 51615; 556; 50776; 14959; 43474; 8922; 574; 67427; 48195; 7358; 40000; 4109; 17228; 19523; 48873; 520; 16859; 32802; 20010
Mon Mothma; 17307; 24711; 27248; 69163; ; 70895; 69954; 83517; 58416; 12802; 69732; 56891; 70532; 66607; 60672; 64467; 65214; 61668; ; 592; 592; 67016; 61659; 75344; 21228; 64773; 66361; 65426; 35146; 64214; 63778; 63997; 60902; 66374; 64097; 556; 19609; 57973; 65974; 26607; 59698; 66920; 18780; 70550; 66206; 55605; 60848; 67584; 69732
Mother Talzin; 16520; 35627; 25989; 23100; ; 16669; 84738; 13417; 19248; 18238; 25233; 22550; 53007; 41968; 31437; 73994; 37562; 23804; 24335; 6424; 29553; 33070; 26394; 67562; 33343; 15650; 36967; 18019; 24186; 58654; 23420; 22991; 68667; 24728; 27344; 28508; 17171; 18963; 17574; 18210; 29490; 520; 15106; 61606; 57892; 31182; 22054; 35527; 25233
Obi-Wan Kenobi (Old Ben); 24233; 30273; 41913; 51633; 655; 54471; 50550; 61485; 50780; 47715; 50928; 55566; 48516; 52652; 99988; 52515; 55162; 54294; 20380; 18772; 20285; 65703; 63511; 51368; 29910; 52129; 52516; 56934; 29022; 54179; 61057; 55597; 56934; 62118; 50527; 25512; 22272; 56833; 60685; 28884; 54441; 60708; 18772; 60295; 52834; 56572; 51060; 51719; 50928
Padmé Amidala; 49067; 112108; 78022; 85230; ; 67998; 111161; 35163; 89211; 96359; 93408; 92096; 74381; 73226; 102378; 88157; 115187; 66721; 89158; 93449; 72184; 60330; 111303; 78669; 81629; 64772; 111033; 94252; 89760; 108315; 96616; 82878; 111231; 103673; 77546; 85551; 90172; 98779; 99735; 85801; 111121; 99607; 39472; 112629; 83606; 96653; 102061; 97069; 93408
R2-D2; 14754; 32739; 53715; 68963; ; 61355; 96902; 65750; 74326; 19029; 75274; 61507; 68382; 83553; 64407; 71302; 59694; 73587; 18652; 28347; 60707; 62081; 72811; 83936; 29205; 88022; 64762; 61594; 49180; 64653; 60343; 63534; 91840; 93353; 77077; 18804; 18864; 103962; 93496; 26956; 67900; 68556; 18497; 75133; 62630; 89336; 80501; 64897; 75274
Shaak Ti; 79713; 82521; 75341; 72835; ; 80970; 100870; 79341; 100309; 86255; 86215; 61989; 66710; 40959; 87460; 66098; 68561; 74347; 70487; 76829; 108386; 79288; 64888; 72994; 86995; 75893; 65022; 71260; 54079; 72948; 84230; 84606; 86466; 83116; 67883; 50206; 20343; 83582; 84940; 77424; 76379; 65716; 24254; 66316; 68718; 97815; 70197; 86960; 86215
T3-M4; 20150; 19515; 37841; 50245; ; 15370; 20307; 50318; 22421; 19992; 23029; 44043; 43007; 57667; 24537; 24570; 21973; 22548; 6690; 57280; 18709; 14337; 43751; 31385; 57756; 48174; 20043; 49736; 43007; 15533; 44519; 18225; 16133; 24296; 44455; 21951; 47945; 45911; 15255; 46636; 14000; 49450; 52524; 12735; 17640; 13851; 15909; 13095; 23029
The Mandalorian; 28033; 55159; 37143; 20788; ; 38684; 74036; 13278; 18830; 14010; 25074; 26305; 23118; 56976; 17361; 66730; 43109; 54117; 24785; 20209; 27317; 24585; 20570; 23885; 18143; 46052; 19165; 14449; 26806; 26393; 27759; 18884; 43220; 40188; 49292; 27222; 23549; 18101; 18184; 20665; 45894; 64192; 14221; 17303; 58229; 24291; 50574; 16027; 25074
The Mandalorian (Beskar Armor); 21191; 92825; 20551; 61305; ; 36883; 66107; 21073; 29491; 21551; 49654; 53753; 52672; 70198; 35363; 52866; 59022; 64753; 50782; 50602; 38844; 60123; 71090; 20164; 51939; 55094; 40106; 22873; 84115; 56704; 56907; 51844; 46276; 37567; 51613; 43402; 65396; 61217; 47228; 53825; 58464; 53282; 68445; 62266; 59142; 51365; 43043; 47263; 49654
Wampa; 43025; 57868; 44002; 108073; ; 45412; 60593; 55342; 64092; 36053; 45413; 72411; 56668; 51951; 49648; 67366; 76020; 89871; 61392; 52184; 50050; 47413; 76161; 69653; 48468; 80274; 42310; 85286; 84425; 52808; 48654; 44190; 74830; 66395; 43228; 30713; 47648; 92289; 62834; 67887; 73493; 58314; 50940; 62291; 43545; 48471; 48932; 43928; 45413
Zorii Bliss; 623; 641; 5424; 605; ; 623; 11555; ; 4466; 5737; 695; ; 9421; 22128; ; 9366; ; 623; ; 22148; ; 623; 623; 14569; 623; 4691; ; 623; 623; 623; 623; 623; ; ; 623; 623; ; 8755; 9601; 623; 19444; 605; 623; ; ; 17874; ; ; 695
Admiral Raddus; 479; 17174; 3552; 515; ; 479; 98331; 497; 9407; 5209; 114893; 479; 4565; 28397; 75597; 15662; 83535; 497; ; 515; ; 479; 101884; 17115; 533; 6830; ; 533; 497; 479; 479; 61307; 515; ; 479; 479; 497; 533; 84320; 479; 81968; 479; 7529; 86369; ; 96182; 82748; 100238; 114893
Darth Malgus; ; ; ; 695; ; 114266; 84787; ; ; 112038; 97953; 31031; ; 26776; 87431; ; 123954; ; ; 96897; ; ; 14809; 98057; 78275; ; 104278; ; ; 124994; 125861; ; ; ; 103923; ; ; 129770; 56860; 130821; 137277; 130857; 123316; 47824; 89417; 126879; ; 118959; 97953
Starkiller; ; ; ; 78572; ; 68087; 83199; ; ; 48651; 79268; ; 58461; ; 71977; ; 68571; ; ; ; ; 69810; 57549; ; ; ; 63897; 65132; 12921; 61664; 79673; 43843; ; ; ; ; 54938; ; ; 61036; 73070; ; 93739; 73370; ; 58591; 60531; 61542; 79268
Luke Skywalker (Farmboy); 17871; 18383; 52422; 14456; 7384; 13159; 21104; 12672; 18547; 15729; 11954; 15255; 12422; 27819; 20334; 57172; 17686; 11866; 11866; 11038; 14337; 15290; 11866; 26203; 15777; 12072; 13598; 13019; 11398; 14458; 16662; 26150; 16332; 13792; 12422; 15393; 15965; 13185; 14498; 13611; 15982; 13920; 14498; 11578; 12422; 11668; 17650; 12512; 11954
Omega; 533; 61758; 20870; ; ; 569; 40845; 515; 19717; 35090; 17992; 551; 551; 62507; 56259; 18424; 16949; 551; ; 551; ; 515; 43640; 17895; 17529; 515; 22385; 515; 551; 51161; 33297; 569; ; ; 569; 551; 551; 569; 15215; 7785; 25831; 515; 2873; 52422; 36792; ; 63323; 50695; 17992
Mara Jade, The Emperor's Hand; 6653; 34490; 55156; 54696; ; 53552; 57971; 52356; 51367; 54844; 60298; 19718; 52363; 70485; 54963; 70638; 62615; 55693; 60942; 23717; 52626; 56470; 66702; 15197; 56970; 33712; 58539; 53916; 55691; 65430; 60193; 74078; 54300; 53976; 52697; 48852; 55952; 21969; 64133; 58809; 63822; 63955; 57635; 52338; 14686; 64430; 60112; 64919; 60298
Bastila Shan; 68947; 57046; 75768; 27843; ; 56300; 63197; 40067; 65350; 54563; 101269; 71801; 57979; 64770; 39801; 67797; 65262; 33468; 31635; 69679; 55387; 73568; 63842; 41844; 75876; 33729; 56705; 38951; 76571; 33968; 62462; 39735; 51737; 59052; 74269; 62019; 39567; 71132; 58054; 54815; 81276; 72316; 70710; 38769; 71066; 37903; 32887; 38491; 101269
Bastila Shan (Fallen); 78412; 46913; 54215; 779; ; 95407; 67127; 59112; 53840; 62987; 58652; 28567; 69256; 62526; 80912; 55801; 72977; 30027; ; 77755; 47578; 79608; 57242; 68719; 65777; 31251; 62255; 56152; 75262; 71526; 65637; 56251; 66672; 58657; 59444; 68493; 59543; 70705; 69558; 59543; 92934; 78414; 67153; 56657; 72198; 63579; 28711; 80745; 58652
